id,Name,Lat,Long,Race
206,Government Center - Cambridge St at Court St,42.359802515995526,-71.05960782626425,White
264,Washington St at Egremont Rd,42.3429444,-71.1413333,White
253,Thetford Ave at Norfolk St,42.286251,-71.079463,Black
259,Washington St at Bradlee St,42.297722,-71.073,Black
239,Community Path at Cedar Street,42.39407223665884,-71.11133694648743,White
191,Tappan St at Brookline Hills MBTA,42.33209606301936,-71.128458827734,White
187,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,White
234,Broadway at Central St,42.39517150121575,-71.09850591982195,White
188,Foss Park,42.39108438146733,-71.09039425849915,White
235,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,White
220,Grove St at Community Path,42.3963838795032,-71.12010508775711,White
231,Washington St at Myrtle St,42.38172115782515,-71.08376650152422,White
236,Assembly Square T,42.39223284004628,-71.07746601104736,White
156,Somerville Hospital,42.39088801721338,-71.10962569713591,White
260,Fields Corner T Stop,42.2996667,-71.0605833,Black
238,Mass Ave at Hadley/Walden,42.39138548863825,-71.12288117408751,White
144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,White
237,699 Mt Auburn St,42.37497659215716,-71.14863030630659,White
168,Harvard Ave at Brainerd Rd,42.34956188545412,-71.1302706227616,White
240,Harvard St at Greene-Rose Heritage Park,42.36599406030789,-71.09516322612761,Black
233,St Mary's,42.346197076555455,-71.10728681087494,White
256,Washington St at Talbot Ave,42.290333,-71.071806,Black
258,Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,White
263,Mattapan Library,42.2773889,-71.09325,Black
241,Mattapan T Stop,42.267902,-71.093641,Black
255,Park St at Norwell St,42.2944167,-71.0783056,Black
257,Codman Square Library,42.2873611,-71.0711111,Black
248,Morton St T,42.28075382961448,-71.08621831150231,Black
243,Commonwealth Ave at Kelton St,42.348368023549895,-71.13997621466297,White
245,Blue Hill Ave at Almont St,42.27454525528758,-71.09372016051566,Black
242,Roslindale Village - South St,42.287072,-71.127754,White
246,Roslindale Village - Washington St,42.2861532,-71.1283744,White
244,Archdale Rd at Washington St,42.292706,-71.121145,Hispanic or Latino
262,Faneuil St at Arlington St,42.3528611,-71.1600278,White
254,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Black
249,Commonwealth Ave at Chiswick Rd,42.3402177416592,-71.1517309399278,White
155,Huntington Ave at Mass Art,42.33651909304393,-71.0989692435578,White
247,Boylston St at Jersey St,42.344695708662215,-71.09723791480063,White
252,Cleveland Circle,42.33553091872319,-71.15072786808014,White
282,Stony Brook T Stop,42.316966,-71.104374,White
283,Main St at Thompson Sq,42.374917,-71.063829,White
281,Medford St at Charlestown BCYF,42.380584,-71.060875,White
280,Main St at Baldwin St,42.380857,-71.070629,White
274,Bennington St at Constitution Beach,42.385249,-71.010601,Hispanic or Latino
277,Charlestown Navy Yard,42.37401065384493,-71.0548335313797,White
284,One Brigham Circle,42.333919727205775,-71.10446777203833,White
279,Williams St at Washington St,42.306539,-71.107669,White
278,Centre St at Seaverns Ave,42.312120283566095,-71.11429806807791,White
250,Park Plaza at Columbus Ave,42.35186,-71.067688,White
296,Farragut Rd at E. 6th St,42.3334,-71.02495,Hispanic or Latino
295,Columbia Rd at Tierney Community Center,42.33023264684929,-71.0505741463021,White
294,Deerfield St at Commonwealth Ave,42.349205689770685,-71.09727063041646,White
307,Broadway T Stop,42.3428,-71.05751,White
293,Bartlett St at John Elliot Sq,42.32946325922549,-71.09015820552486,Black
306,Blue Hill Ave at Southwood St,42.31784,-71.07796,Black
336,Mattapan T Stop,42.267902,-71.093641,Black
302,Harrison Ave at Bennet St (former),42.3493102175903,-71.06210500001907,Asian
299,Harrison Ave at Mullins Way (former),42.34510857037852,-71.06392078119825,White
300,Tremont St at Northampton St (former),42.33884970690809,-71.08140613892829,White
347,Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236,Black
341,Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,White
286,30 Dane St. (former),42.38112284630097,-71.10410027224134,White
311,Vassal Lane at Tobin/VLUS (former),42.383928224564585,-71.13962350417751,White
319,84 Cambridgepark Dr,42.3936,-71.143941,White
355,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,Hispanic or Latino
332,Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,White
333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,White
335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Black
330,30 Dane St.,42.38100143038052,-71.10402522613185,White
327,Main St at Thompson Sq,42.374878467440965,-71.06383498767171,White
328,Grove St at Community Path,42.396386809455,-71.12011306006025,White
331,Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,White
329,Washington St at Myrtle St,42.381699831636816,-71.08377588917392,White
334,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,White
337,Roslindale Village - South St,42.287072,-71.127754,White
342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,White
345,Park Plaza at Charles St,42.35182806892068,-71.06781138111728,White
348,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Black
339,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,Hispanic or Latino
338,Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,White
351,Faneuil St at Arlington St,42.35276620545606,-71.15988485533308,White
346,Cleveland Circle,42.335543083570826,-71.15061519672052,White
344,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,White
318,Ames St at Broadway,42.3636929,-71.0875672,Asian
352,Ring Rd,42.348278385426255,-71.08044855314802,White
350,Codman Square Library,42.2873611,-71.071111,Black
340,Blue Hill Ave at Almont St,42.27462067181224,-71.09372552493369,Black
343,Morton St T,42.280725142920296,-71.08617242434775,Black
349,Washington St at Talbot Ave,42.290333,-71.071806,Black
317,BCBS Quincy,42.27600498756665,-71.03924982267927,Asian
356,Charlestown Navy Yard,42.374124549426526,-71.05481199938367,White
308,BCBS Hingham,42.16722555541654,-70.90555783370291,White
354,Washington St at Egremont Rd,42.34286835071959,-71.14127840855872,White
353,Mattapan Library,42.2773889,-71.09325,Black
361,Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,White
359,One Brigham Circle,42.33392270136997,-71.10446508982932,White
363,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,White
357,Centre St at Seaverns Ave,42.3121203,-71.1142981,White
365,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,Asian
358,Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,White
364,Tremont St at Northampton St,42.33889559644165,-71.08149975611013,White
