Countyfp,Geoid,Station Id,Intptlat,Intptlon,Station Name,NAME (DECENNIALPL2020.P2-Data.csv),Name1,Namelsad,Tractce,Aland,Awater,F1,Geometry,Lat1,Long1,Total Population,Total Hispanic or Latino,Percentage Hispanic or Latino,Total Not Hispanic or Latino,Percentage Not Hispanic or Latino,Total White,Percentage White,Total Black,Percentage Black,Total American Indian,Percentage American Indian,Total Asian,Percentage Asian,Total Hawaiian,Percentage Hawaiian
17,25017353102,107,42.3601076,-71.0909495,Ames St at Main St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,24,Polygon,42.3625,-71.08822,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,318,42.3601076,-71.0909495,Ames St at Broadway,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,289,Polygon,42.3636929,-71.0875672,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,479,42.3601076,-71.0909495,Galileo Galilei Way at Main Street,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,421,Polygon,42.36300378,-71.08974038,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,67,42.3601076,-71.0909495,MIT at Mass Ave / Amherst St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,11,Polygon,42.3581,-71.093198,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,472,42.3601076,-71.0909495,MIT Hayward St at Amherst St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,417,Polygon,42.36085937,-71.08551858,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,471,42.3601076,-71.0909495,MIT Carleton St at Amherst St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,416,Polygon,42.36054174,-71.08669817,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,80,42.3601076,-71.0909495,MIT Stata Center at Vassar St / Main St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,2,Polygon,42.3619622,-71.0920526,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
25,25025070402,152,42.3455432,-71.0651669,Ink Block,"Census Tract 704.02, Suffolk County, Massachusetts",704.02,Census Tract 704.02,70402,247190,0,112,Polygon,42.345901,-71.063187,3561,278,0.078067958,3180,0.893007582,1473,0.413647852,374,0.105026678,3,0.00084246,1308,0.367312553,0,0
25,25025070402,222,42.3455432,-71.0651669,Troy Boston,"Census Tract 704.02, Suffolk County, Massachusetts",704.02,Census Tract 704.02,70402,247190,0,204,Polygon,42.343749,-71.062256,3561,278,0.078067958,3180,0.893007582,1473,0.413647852,374,0.105026678,3,0.00084246,1308,0.367312553,0,0
25,25025070402,4,42.3455432,-71.0651669,Tremont St. at Berkeley St.,"Census Tract 704.02, Suffolk County, Massachusetts",704.02,Census Tract 704.02,70402,247190,0,45,Polygon,42.345392,-71.069616,3561,278,0.078067958,3180,0.893007582,1473,0.413647852,374,0.105026678,3,0.00084246,1308,0.367312553,0,0
25,25025070402,363,42.3455432,-71.0651669,Harrison Ave at Mullins Way,"Census Tract 704.02, Suffolk County, Massachusetts",704.02,Census Tract 704.02,70402,247190,0,302,Polygon,42.34521562,-71.06384032,3561,278,0.078067958,3180,0.893007582,1473,0.413647852,374,0.105026678,3,0.00084246,1308,0.367312553,0,0
25,25025070402,299,42.3455432,-71.0651669,Harrison Ave at Mullins Way (former),"Census Tract 704.02, Suffolk County, Massachusetts",704.02,Census Tract 704.02,70402,247190,0,263,Polygon,42.34510857,-71.06392078,3561,278,0.078067958,3180,0.893007582,1473,0.413647852,374,0.105026678,3,0.00084246,1308,0.367312553,0,0
17,25017354901,414,42.3964209,-71.1489608,Discovery Park - 30 Acorn Park Drive,"Census Tract 3549.01, Middlesex County, Massachusetts",3549.01,Census Tract 3549.01,354901,618189,31400,362,Polygon,42.39790817,-71.14797131,2876,236,0.082058414,2496,0.867872045,1199,0.41689847,256,0.089012517,0,0,1028,0.35744089,0,0
17,25017354901,183,42.3964209,-71.1489608,Alewife MBTA at Steel Place,"Census Tract 3549.01, Middlesex County, Massachusetts",3549.01,Census Tract 3549.01,354901,618189,31400,176,Polygon,42.39558846,-71.14260614,2876,236,0.082058414,2496,0.867872045,1199,0.41689847,256,0.089012517,0,0,1028,0.35744089,0,0
17,25017354901,319,42.3964209,-71.1489608,84 Cambridgepark Dr,"Census Tract 3549.01, Middlesex County, Massachusetts",3549.01,Census Tract 3549.01,354901,618189,31400,269,Polygon,42.3936,-71.143941,2876,236,0.082058414,2496,0.867872045,1199,0.41689847,256,0.089012517,0,0,1028,0.35744089,0,0
25,25025010206,247,42.346504,-71.0942317,Boylston St at Jersey St,"Census Tract 102.06, Suffolk County, Massachusetts",102.06,Census Tract 102.06,10206,182280,1185,243,Polygon,42.34469571,-71.09723792,2154,223,0.103528319,1848,0.857938719,1040,0.482822656,50,0.023212628,0,0,749,0.347725162,0,0
25,25025010206,45,42.346504,-71.0942317,Yawkey Way at Boylston St.,"Census Tract 102.06, Suffolk County, Massachusetts",102.06,Census Tract 102.06,10206,182280,1185,82,Polygon,42.344706,-71.097515,2154,223,0.103528319,1848,0.857938719,1040,0.482822656,50,0.023212628,0,0,749,0.347725162,0,0
25,25025010206,55,42.346504,-71.0942317,Boylston / Mass Ave,"Census Tract 102.06, Suffolk County, Massachusetts",102.06,Census Tract 102.06,10206,182280,1185,69,Polygon,42.347265,-71.088088,2154,223,0.103528319,1848,0.857938719,1040,0.482822656,50,0.023212628,0,0,749,0.347725162,0,0
25,25025010206,342,42.346504,-71.0942317,Boylston St at Jersey St,"Census Tract 102.06, Suffolk County, Massachusetts",102.06,Census Tract 102.06,10206,182280,1185,281,Polygon,42.34465063,-71.09732501,2154,223,0.103528319,1848,0.857938719,1040,0.482822656,50,0.023212628,0,0,749,0.347725162,0,0
17,25017339803,565,42.4055646,-71.0777105,Wellington MBTA,"Census Tract 3398.03, Middlesex County, Massachusetts",3398.03,Census Tract 3398.03,339803,757033,196154,503,Polygon,42.4023682,-71.07573182,3383,219,0.064735442,3035,0.897132722,1701,0.502808158,120,0.035471475,5,0.001477978,1160,0.342890925,0,0
25,25025010204,19,42.3464726,-71.1034355,Buswell St. at Park Dr.,"Census Tract 102.04, Suffolk County, Massachusetts",102.04,Census Tract 102.04,10204,253410,607,81,Polygon,42.347241,-71.105301,3443,265,0.076967761,2999,0.871042695,1690,0.490851002,168,0.048794656,0,0,1097,0.318617485,12,0.003485333
25,25025010204,122,42.3464726,-71.1034355,BIDMC - Brookline at Burlington St,"Census Tract 102.04, Suffolk County, Massachusetts",102.04,Census Tract 102.04,10204,253410,607,74,Polygon,42.345733,-71.100694,3443,265,0.076967761,2999,0.871042695,1690,0.490851002,168,0.048794656,0,0,1097,0.318617485,12,0.003485333
25,25025010204,32,42.3464726,-71.1034355,Landmark Centre,"Census Tract 102.04, Suffolk County, Massachusetts",102.04,Census Tract 102.04,10204,253410,607,46,Polygon,42.343912,-71.102221,3443,265,0.076967761,2999,0.871042695,1690,0.490851002,168,0.048794656,0,0,1097,0.318617485,12,0.003485333
